year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,465242,2023000223880,88,2023004652421,311117,households under 1970 definition,3,110,female,10,,with health insurance coverage,"grade 5, 6, 7, or 8",grade 5,n/a,n/a,n/a,0,0,n/a,9999999,n/a,501
2023,2023 acs,954635,2023001050947,247,2023009546351,420936,households under 1970 definition,2,225,female,19,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",4720,4971,35,17500,17500,501
2023,2023 acs,680495,2023001360983,288,2023006804951,100425,households under 1970 definition,2,95,male,22,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,146
2023,2023 acs,1382157,2023001411244,468,2023013821571,464048,households under 1970 definition,1,469,female,42,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",3255,8191,40,146200,127000,501
2023,2023 acs,1346556,2023000955411,28,2023013465561,460348,households under 1970 definition,2,26,male,26,,with health insurance coverage,grade 12,regular high school diploma,unemployed,unemployed,"yes, in the labor force",4200,7690,80,50000,50000,501
2023,2023 acs,632657,2023000520621,116,2023006326571,110624,households under 1970 definition,5,112,female,16,,with health insurance coverage,grade 11,grade 11,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,243
2023,2023 acs,521645,2023000458249,69,2023005216451,10318,households under 1970 definition,2,74,female,83,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,39000,0,501
2023,2023 acs,674724,2023001071619,54,2023006747241,40325,households under 1970 definition,3,53,male,19,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",9130,8680,n/a,0,0,362
2023,2023 acs,1067980,2023000824829,61,2023010679801,370439,households under 1970 definition,3,121,male,11,,with health insurance coverage,nursery school to grade 4,grade 4,n/a,n/a,n/a,0,0,n/a,9999999,n/a,501
2023,2023 acs,665412,2023000605026,44,2023006654121,80125,households under 1970 definition,2,40,male,27,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",20,8680,55,39000,39000,251
2023,2023 acs,674889,2023001079858,15,2023006748891,10025,households under 1970 definition,5,19,female,5,,with health insurance coverage,nursery school to grade 4,kindergarten,n/a,n/a,n/a,0,0,n/a,9999999,n/a,319
